,minicluster_size,runtime,analysis,ranks
kubernetes-8/size_5_hostname/lammps-5-19,5,0.24648118019104004,hostname,280
kubernetes-8/size_5_hostname/lammps-5-17,5,0.2475595474243164,hostname,280
kubernetes-8/size_5_hostname/lammps-5-10,5,0.24761295318603516,hostname,280
kubernetes-8/size_5_hostname/lammps-5-18,5,0.24469971656799316,hostname,280
kubernetes-8/size_5_hostname/lammps-5-5,5,0.2508683204650879,hostname,280
kubernetes-8/size_5_hostname/lammps-5-1,5,0.2647671699523926,hostname,280
kubernetes-8/size_5_hostname/lammps-5-2,5,0.2512235641479492,hostname,280
kubernetes-8/size_5_hostname/lammps-5-3,5,0.24498748779296875,hostname,280
kubernetes-8/size_5_hostname/lammps-5-7,5,0.24437332153320312,hostname,280
kubernetes-8/size_5_hostname/lammps-5-16,5,0.2506868839263916,hostname,280
kubernetes-8/size_5_hostname/lammps-5-14,5,0.2442638874053955,hostname,280
kubernetes-8/size_5_hostname/lammps-5-11,5,0.2537696361541748,hostname,280
kubernetes-8/size_5_hostname/lammps-5-9,5,0.24536681175231934,hostname,280
kubernetes-8/size_5_hostname/lammps-5-13,5,0.24753546714782715,hostname,280
kubernetes-8/size_5_hostname/lammps-5-12,5,0.24303340911865234,hostname,280
kubernetes-8/size_5_hostname/lammps-5-6,5,0.24186182022094727,hostname,280
kubernetes-8/size_5_hostname/lammps-5-15,5,0.25645899772644043,hostname,280
kubernetes-8/size_5_hostname/lammps-5-8,5,0.25976014137268066,hostname,280
kubernetes-8/size_5_hostname/lammps-5-4,5,0.2513704299926758,hostname,280
kubernetes-8/size_5_hostname/lammps-5-0,5,0.2776486873626709,hostname,280
kubernetes-8/size_8_hostname/lammps-8-19,8,0.27951860427856445,hostname,448
kubernetes-8/size_8_hostname/lammps-8-9,8,0.2812159061431885,hostname,448
kubernetes-8/size_8_hostname/lammps-8-0,8,0.3127009868621826,hostname,448
kubernetes-8/size_8_hostname/lammps-8-17,8,0.27423810958862305,hostname,448
kubernetes-8/size_8_hostname/lammps-8-15,8,0.2925434112548828,hostname,448
kubernetes-8/size_8_hostname/lammps-8-4,8,0.2933053970336914,hostname,448
kubernetes-8/size_8_hostname/lammps-8-1,8,0.2811119556427002,hostname,448
kubernetes-8/size_8_hostname/lammps-8-11,8,0.289135217666626,hostname,448
kubernetes-8/size_8_hostname/lammps-8-6,8,0.3027515411376953,hostname,448
kubernetes-8/size_8_hostname/lammps-8-7,8,0.28490519523620605,hostname,448
kubernetes-8/size_8_hostname/lammps-8-3,8,0.27938246726989746,hostname,448
kubernetes-8/size_8_hostname/lammps-8-12,8,0.2756175994873047,hostname,448
kubernetes-8/size_8_hostname/lammps-8-18,8,0.28983020782470703,hostname,448
kubernetes-8/size_8_hostname/lammps-8-2,8,0.27887463569641113,hostname,448
kubernetes-8/size_8_hostname/lammps-8-14,8,0.2943305969238281,hostname,448
kubernetes-8/size_8_hostname/lammps-8-5,8,0.28661537170410156,hostname,448
kubernetes-8/size_8_hostname/lammps-8-8,8,0.28201770782470703,hostname,448
kubernetes-8/size_8_hostname/lammps-8-10,8,0.2768394947052002,hostname,448
kubernetes-8/size_8_hostname/lammps-8-16,8,0.288301944732666,hostname,448
kubernetes-8/size_8_hostname/lammps-8-13,8,0.28534793853759766,hostname,448
kubernetes-8/size_6_hostname_noaffinity/lammps-6-5,6,0.22541570663452148,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-14,6,0.22318029403686523,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-19,6,0.2204592227935791,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-3,6,0.22705411911010742,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-6,6,0.22695517539978027,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-4,6,0.2202625274658203,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-13,6,0.22410893440246582,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-9,6,0.22301459312438965,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-1,6,0.23340797424316406,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-12,6,0.2318425178527832,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-16,6,0.22855257987976074,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-8,6,0.22098708152770996,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-7,6,0.23361897468566895,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-0,6,0.25271129608154297,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-10,6,0.21985507011413574,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-17,6,0.22473716735839844,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-2,6,0.22896575927734375,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-18,6,0.2551605701446533,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-15,6,0.2244265079498291,hostname_noaffinity,336
kubernetes-8/size_6_hostname_noaffinity/lammps-6-11,6,0.22652196884155273,hostname_noaffinity,336
kubernetes-8/size_4_hostname_noaffinity/lammps-4-4,4,0.19929099082946777,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-18,4,0.2019515037536621,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-7,4,0.199737548828125,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-13,4,0.2031238079071045,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-11,4,0.21465182304382324,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-14,4,0.20138859748840332,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-12,4,0.20244669914245605,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-3,4,0.20455026626586914,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-2,4,0.21424508094787598,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-19,4,0.20069098472595215,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-16,4,0.20026373863220215,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-5,4,0.200941801071167,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-0,4,0.21235275268554688,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-8,4,0.20308256149291992,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-10,4,0.2069108486175537,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-1,4,0.20628571510314941,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-15,4,0.2057490348815918,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-6,4,0.20729303359985352,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-9,4,0.20270681381225586,hostname_noaffinity,224
kubernetes-8/size_4_hostname_noaffinity/lammps-4-17,4,0.20485234260559082,hostname_noaffinity,224
kubernetes-8/size_2_hostname/lammps-2-8,2,0.24118566513061523,hostname,112
kubernetes-8/size_2_hostname/lammps-2-7,2,0.22713971138000488,hostname,112
kubernetes-8/size_2_hostname/lammps-2-12,2,0.22589755058288574,hostname,112
kubernetes-8/size_2_hostname/lammps-2-15,2,0.22017240524291992,hostname,112
kubernetes-8/size_2_hostname/lammps-2-0,2,0.25891876220703125,hostname,112
kubernetes-8/size_2_hostname/lammps-2-2,2,0.21787691116333008,hostname,112
kubernetes-8/size_2_hostname/lammps-2-19,2,0.2237861156463623,hostname,112
kubernetes-8/size_2_hostname/lammps-2-6,2,0.23429608345031738,hostname,112
kubernetes-8/size_2_hostname/lammps-2-1,2,0.22280526161193848,hostname,112
kubernetes-8/size_2_hostname/lammps-2-9,2,0.21269607543945312,hostname,112
kubernetes-8/size_2_hostname/lammps-2-16,2,0.2163379192352295,hostname,112
kubernetes-8/size_2_hostname/lammps-2-5,2,0.2281494140625,hostname,112
kubernetes-8/size_2_hostname/lammps-2-13,2,0.22758245468139648,hostname,112
kubernetes-8/size_2_hostname/lammps-2-3,2,0.2226428985595703,hostname,112
kubernetes-8/size_2_hostname/lammps-2-14,2,0.22246289253234863,hostname,112
kubernetes-8/size_2_hostname/lammps-2-11,2,0.2254655361175537,hostname,112
kubernetes-8/size_2_hostname/lammps-2-10,2,0.22552013397216797,hostname,112
kubernetes-8/size_2_hostname/lammps-2-17,2,0.21560406684875488,hostname,112
kubernetes-8/size_2_hostname/lammps-2-18,2,0.22115302085876465,hostname,112
kubernetes-8/size_2_hostname/lammps-2-4,2,0.21688461303710938,hostname,112
kubernetes-8/size_7_hostname_noaffinity/lammps-7-2,7,0.240509033203125,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-18,7,0.23583340644836426,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-0,7,0.28247904777526855,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-11,7,0.23576068878173828,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-7,7,0.22666096687316895,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-15,7,0.23400330543518066,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-4,7,0.23636937141418457,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-10,7,0.22968721389770508,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-3,7,0.2343277931213379,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-19,7,0.24382424354553223,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-6,7,0.24293804168701172,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-16,7,0.23995018005371094,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-14,7,0.23372220993041992,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-17,7,0.2352583408355713,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-9,7,0.22911691665649414,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-13,7,0.24056315422058105,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-5,7,0.23117899894714355,hostname_noaffinity,392
kubernetes-8/size_7_hostname_noaffinity/lammps-7-8,7,0.23297548294067383,hostname_noaffinity,392
