,time_seconds,event,pod,size,experiment,iteration
0,9.976,watch_create,all,16,pods,10
1,33.156,watch_delete,all,16,pods,10
2,0.0,PodScheduled,pod-0,16,pods,10
3,0.0,Initialized,pod-0,16,pods,10
4,2.0,Ready,pod-0,16,pods,10
5,2.0,ContainersReady,pod-0,16,pods,10
6,0.0,PodScheduled,pod-1,16,pods,10
7,0.0,Initialized,pod-1,16,pods,10
8,4.0,Ready,pod-1,16,pods,10
9,4.0,ContainersReady,pod-1,16,pods,10
10,0.0,PodScheduled,pod-2,16,pods,10
11,0.0,Initialized,pod-2,16,pods,10
12,3.0,Ready,pod-2,16,pods,10
13,3.0,ContainersReady,pod-2,16,pods,10
14,0.0,PodScheduled,pod-3,16,pods,10
15,0.0,Initialized,pod-3,16,pods,10
16,3.0,Ready,pod-3,16,pods,10
17,3.0,ContainersReady,pod-3,16,pods,10
18,0.0,PodScheduled,pod-4,16,pods,10
19,0.0,Initialized,pod-4,16,pods,10
20,5.0,Ready,pod-4,16,pods,10
21,5.0,ContainersReady,pod-4,16,pods,10
22,0.0,PodScheduled,pod-5,16,pods,10
23,0.0,Initialized,pod-5,16,pods,10
24,5.0,Ready,pod-5,16,pods,10
25,5.0,ContainersReady,pod-5,16,pods,10
26,0.0,PodScheduled,pod-6,16,pods,10
27,0.0,Initialized,pod-6,16,pods,10
28,4.0,Ready,pod-6,16,pods,10
29,4.0,ContainersReady,pod-6,16,pods,10
30,0.0,PodScheduled,pod-7,16,pods,10
31,0.0,Initialized,pod-7,16,pods,10
32,9.0,Ready,pod-7,16,pods,10
33,9.0,ContainersReady,pod-7,16,pods,10
34,0.0,PodScheduled,pod-8,16,pods,10
35,0.0,Initialized,pod-8,16,pods,10
36,10.0,Ready,pod-8,16,pods,10
37,10.0,ContainersReady,pod-8,16,pods,10
38,0.0,PodScheduled,pod-9,16,pods,10
39,0.0,Initialized,pod-9,16,pods,10
40,6.0,Ready,pod-9,16,pods,10
41,6.0,ContainersReady,pod-9,16,pods,10
42,0.0,PodScheduled,pod-10,16,pods,10
43,0.0,Initialized,pod-10,16,pods,10
44,8.0,Ready,pod-10,16,pods,10
45,8.0,ContainersReady,pod-10,16,pods,10
46,0.0,PodScheduled,pod-11,16,pods,10
47,0.0,Initialized,pod-11,16,pods,10
48,7.0,Ready,pod-11,16,pods,10
49,7.0,ContainersReady,pod-11,16,pods,10
50,0.0,PodScheduled,pod-12,16,pods,10
51,0.0,Initialized,pod-12,16,pods,10
52,6.0,Ready,pod-12,16,pods,10
53,6.0,ContainersReady,pod-12,16,pods,10
54,0.0,PodScheduled,pod-13,16,pods,10
55,0.0,Initialized,pod-13,16,pods,10
56,7.0,Ready,pod-13,16,pods,10
57,7.0,ContainersReady,pod-13,16,pods,10
58,0.0,PodScheduled,pod-14,16,pods,10
59,0.0,Initialized,pod-14,16,pods,10
60,8.0,Ready,pod-14,16,pods,10
61,8.0,ContainersReady,pod-14,16,pods,10
62,0.0,PodScheduled,pod-15,16,pods,10
63,0.0,Initialized,pod-15,16,pods,10
64,9.0,Ready,pod-15,16,pods,10
65,9.0,ContainersReady,pod-15,16,pods,10
66,9.973,watch_create,all,16,pods,7
67,34.178,watch_delete,all,16,pods,7
68,0.0,PodScheduled,pod-0,16,pods,7
69,0.0,Initialized,pod-0,16,pods,7
70,1.0,Ready,pod-0,16,pods,7
71,1.0,ContainersReady,pod-0,16,pods,7
72,0.0,PodScheduled,pod-1,16,pods,7
73,0.0,Initialized,pod-1,16,pods,7
74,2.0,Ready,pod-1,16,pods,7
75,2.0,ContainersReady,pod-1,16,pods,7
76,0.0,PodScheduled,pod-2,16,pods,7
77,0.0,Initialized,pod-2,16,pods,7
78,2.0,Ready,pod-2,16,pods,7
79,2.0,ContainersReady,pod-2,16,pods,7
80,0.0,PodScheduled,pod-3,16,pods,7
81,0.0,Initialized,pod-3,16,pods,7
82,3.0,Ready,pod-3,16,pods,7
83,3.0,ContainersReady,pod-3,16,pods,7
84,0.0,PodScheduled,pod-4,16,pods,7
85,0.0,Initialized,pod-4,16,pods,7
86,3.0,Ready,pod-4,16,pods,7
87,3.0,ContainersReady,pod-4,16,pods,7
88,0.0,PodScheduled,pod-5,16,pods,7
89,0.0,Initialized,pod-5,16,pods,7
90,4.0,Ready,pod-5,16,pods,7
91,4.0,ContainersReady,pod-5,16,pods,7
92,0.0,PodScheduled,pod-6,16,pods,7
93,0.0,Initialized,pod-6,16,pods,7
94,5.0,Ready,pod-6,16,pods,7
95,5.0,ContainersReady,pod-6,16,pods,7
96,0.0,PodScheduled,pod-7,16,pods,7
97,0.0,Initialized,pod-7,16,pods,7
98,5.0,Ready,pod-7,16,pods,7
99,5.0,ContainersReady,pod-7,16,pods,7
100,0.0,PodScheduled,pod-8,16,pods,7
101,0.0,Initialized,pod-8,16,pods,7
102,6.0,Ready,pod-8,16,pods,7
103,6.0,ContainersReady,pod-8,16,pods,7
104,0.0,PodScheduled,pod-9,16,pods,7
105,0.0,Initialized,pod-9,16,pods,7
106,7.0,Ready,pod-9,16,pods,7
107,7.0,ContainersReady,pod-9,16,pods,7
108,0.0,PodScheduled,pod-10,16,pods,7
109,0.0,Initialized,pod-10,16,pods,7
110,4.0,Ready,pod-10,16,pods,7
111,4.0,ContainersReady,pod-10,16,pods,7
112,0.0,PodScheduled,pod-11,16,pods,7
113,0.0,Initialized,pod-11,16,pods,7
114,6.0,Ready,pod-11,16,pods,7
115,6.0,ContainersReady,pod-11,16,pods,7
116,0.0,PodScheduled,pod-12,16,pods,7
117,0.0,Initialized,pod-12,16,pods,7
118,9.0,Ready,pod-12,16,pods,7
119,9.0,ContainersReady,pod-12,16,pods,7
120,0.0,PodScheduled,pod-13,16,pods,7
121,0.0,Initialized,pod-13,16,pods,7
122,7.0,Ready,pod-13,16,pods,7
123,7.0,ContainersReady,pod-13,16,pods,7
124,0.0,PodScheduled,pod-14,16,pods,7
125,0.0,Initialized,pod-14,16,pods,7
126,8.0,Ready,pod-14,16,pods,7
127,8.0,ContainersReady,pod-14,16,pods,7
128,0.0,PodScheduled,pod-15,16,pods,7
129,0.0,Initialized,pod-15,16,pods,7
130,8.0,Ready,pod-15,16,pods,7
131,8.0,ContainersReady,pod-15,16,pods,7
132,9.998,watch_create,all,16,pods,15
133,33.15,watch_delete,all,16,pods,15
134,0.0,PodScheduled,pod-0,16,pods,15
135,0.0,Initialized,pod-0,16,pods,15
136,2.0,Ready,pod-0,16,pods,15
137,2.0,ContainersReady,pod-0,16,pods,15
138,0.0,PodScheduled,pod-1,16,pods,15
139,0.0,Initialized,pod-1,16,pods,15
140,3.0,Ready,pod-1,16,pods,15
141,3.0,ContainersReady,pod-1,16,pods,15
142,0.0,PodScheduled,pod-2,16,pods,15
143,0.0,Initialized,pod-2,16,pods,15
144,4.0,Ready,pod-2,16,pods,15
145,4.0,ContainersReady,pod-2,16,pods,15
146,0.0,PodScheduled,pod-3,16,pods,15
147,0.0,Initialized,pod-3,16,pods,15
148,4.0,Ready,pod-3,16,pods,15
149,4.0,ContainersReady,pod-3,16,pods,15
150,0.0,PodScheduled,pod-4,16,pods,15
151,0.0,Initialized,pod-4,16,pods,15
152,3.0,Ready,pod-4,16,pods,15
153,3.0,ContainersReady,pod-4,16,pods,15
154,0.0,PodScheduled,pod-5,16,pods,15
155,0.0,Initialized,pod-5,16,pods,15
