,ranks,size,x,y,z,experiment,scheduler,wall_time,total_time,submit_to_completion_time
0,12,6,2,2,2,size-6-2-2-2,fluence,9.0,19.820228,2653.76677
1,8,4,2,2,2,size-4-2-2-2,fluence,6.0,23.958934,2126.083334
2,4,2,2,2,2,size-2-2-2-2,fluence,19.0,25.784426,2801.923017
3,4,2,2,2,2,size-2-2-2-2,fluence,19.0,25.835414,2476.180063
4,4,2,2,2,2,size-2-2-2-2,fluence,19.0,26.529342,1533.501695
5,10,5,2,2,2,size-5-2-2-2,fluence,17.0,25.476793,2839.762603
6,10,5,2,2,2,size-5-2-2-2,fluence,6.0,19.125487,2889.501726
7,4,2,2,2,2,size-2-2-2-2,fluence,19.0,30.502231,1562.499532
8,8,4,2,2,2,size-4-2-2-2,fluence,6.0,15.584463,3020.020719
9,4,2,2,2,2,size-2-2-2-2,fluence,18.0,24.909173,2057.932074
10,6,3,2,2,2,size-3-2-2-2,fluence,6.0,12.579693,3090.925306
11,10,5,2,2,2,size-5-2-2-2,fluence,5.0,14.557386,3626.333475
12,6,3,2,2,2,size-3-2-2-2,fluence,6.0,11.61244,2726.028909
13,10,5,2,2,2,size-5-2-2-2,fluence,5.0,31.747601,1701.639057
14,6,3,2,2,2,size-3-2-2-2,fluence,6.0,8.993465,597.70101
15,12,6,2,2,2,size-6-2-2-2,fluence,5.0,35.984128,1536.253777
16,10,5,2,2,2,size-5-2-2-2,fluence,5.0,55.106446,2780.38968
17,4,2,2,2,2,size-2-2-2-2,fluence,20.0,41.595961,3346.487323
18,10,5,2,2,2,size-5-2-2-2,fluence,5.0,32.480676,2434.902412
19,8,4,2,2,2,size-4-2-2-2,fluence,6.0,27.318429,1374.796365
20,10,5,2,2,2,size-5-2-2-2,fluence,5.0,1.561605,1211.366601
21,12,6,2,2,2,size-6-2-2-2,fluence,5.0,40.463243,1051.100692
22,4,2,2,2,2,size-2-2-2-2,fluence,19.0,25.367089,498.846916
23,6,3,2,2,2,size-3-2-2-2,fluence,6.0,22.688462,2583.162837
24,10,5,2,2,2,size-5-2-2-2,fluence,5.0,14.144343,2588.31564
25,4,2,2,2,2,size-2-2-2-2,fluence,19.0,24.869297,1808.955721
26,8,4,2,2,2,size-4-2-2-2,fluence,6.0,25.914951,1141.210361
27,10,5,2,2,2,size-5-2-2-2,fluence,6.0,16.60752,3257.193236
28,8,4,2,2,2,size-4-2-2-2,fluence,6.0,19.261075,3037.209523
29,10,5,2,2,2,size-5-2-2-2,fluence,5.0,16.054977,2386.776691
30,6,3,2,2,2,size-3-2-2-2,fluence,6.0,12.657478,3377.931038
31,6,3,2,2,2,size-3-2-2-2,fluence,6.0,24.042527,1116.389017
32,10,5,2,2,2,size-5-2-2-2,fluence,5.0,13.661184,3500.66938
33,4,2,2,2,2,size-2-2-2-2,fluence,19.0,26.96682,2069.049294
34,4,2,2,2,2,size-2-2-2-2,fluence,19.0,26.920825,2270.739907
35,6,3,2,2,2,size-3-2-2-2,fluence,6.0,12.281461,2331.131724
36,8,4,2,2,2,size-4-2-2-2,fluence,6.0,11.43349,54.209282
37,4,2,2,2,2,size-2-2-2-2,fluence,19.0,23.344825,1312.953159
38,4,2,2,2,2,size-2-2-2-2,fluence,19.0,29.648738,3174.331026
39,8,4,2,2,2,size-4-2-2-2,fluence,6.0,15.520783,3209.258719
40,8,4,2,2,2,size-4-2-2-2,fluence,6.0,23.106331,1626.786694
41,6,3,2,2,2,size-3-2-2-2,fluence,6.0,11.978074,2124.088992
42,6,3,2,2,2,size-3-2-2-2,fluence,6.0,193.897084,234.3761
43,12,6,2,2,2,size-6-2-2-2,fluence,5.0,52.050953,2277.529914
44,8,4,2,2,2,size-4-2-2-2,fluence,6.0,26.685358,1583.565376
45,4,2,2,2,2,size-2-2-2-2,fluence,38.0,46.267095,3384.832702
46,4,2,2,2,2,size-2-2-2-2,fluence,19.0,23.806474,2544.082536
47,12,6,2,2,2,size-6-2-2-2,fluence,5.0,24.567233,3670.906623
48,12,6,2,2,2,size-6-2-2-2,fluence,5.0,29.059492,3147.996059
49,12,6,2,2,2,size-6-2-2-2,fluence,5.0,24.307053,3546.55272
50,8,4,2,2,2,size-4-2-2-2,fluence,6.0,13.479633,2541.853944
51,12,6,2,2,2,size-6-2-2-2,fluence,5.0,14.73538,2453.10621
52,8,4,2,2,2,size-4-2-2-2,fluence,6.0,25.794511,3592.078644
53,8,4,2,2,2,size-4-2-2-2,fluence,6.0,33.756318,2613.357545
54,12,6,2,2,2,size-6-2-2-2,fluence,6.0,29.972307,3326.948941
55,8,4,2,2,2,size-4-2-2-2,fluence,6.0,24.956619,622.101763
56,6,3,2,2,2,size-3-2-2-2,fluence,6.0,12.372574,3468.096395
57,12,6,2,2,2,size-6-2-2-2,fluence,5.0,22.311451,3428.196522
58,10,5,2,2,2,size-5-2-2-2,fluence,5.0,31.018862,2693.684208
59,8,4,2,2,2,size-4-2-2-2,fluence,6.0,15.419728,3464.968419
60,4,2,2,2,2,size-2-2-2-2,fluence,24.0,65.130973,2672.800869
61,10,5,2,2,2,size-5-2-2-2,fluence,6.0,30.542912,1946.061221
62,4,2,2,2,2,size-2-2-2-2,fluence,34.0,42.251305,2836.29387
63,8,4,2,2,2,size-4-2-2-2,fluence,6.0,12.201351,2335.479565
64,10,5,2,2,2,size-5-2-2-2,fluence,5.0,29.882542,2192.660502
65,8,4,2,2,2,size-4-2-2-2,fluence,6.0,26.531626,2861.419627
66,4,2,2,2,2,size-2-2-2-2,fluence,19.0,23.094217,1077.200085
67,10,5,2,2,2,size-5-2-2-2,fluence,5.0,37.257442,967.305249
68,6,3,2,2,2,size-3-2-2-2,fluence,6.0,18.528736,1345.069714
69,6,3,2,2,2,size-3-2-2-2,fluence,6.0,11.833518,2534.252239
70,6,3,2,2,2,size-3-2-2-2,fluence,6.0,13.832885,376.744398
71,6,3,2,2,2,size-3-2-2-2,fluence,6.0,21.579875,1601.674673
72,12,6,2,2,2,size-6-2-2-2,fluence,5.0,33.943021,2777.896546
73,6,3,2,2,2,size-3-2-2-2,fluence,6.0,20.047415,2835.670027
74,12,6,2,2,2,size-6-2-2-2,fluence,5.0,16.520405,2248.127823
75,10,5,2,2,2,size-5-2-2-2,fluence,17.0,25.501244,3384.87502
76,12,6,2,2,2,size-6-2-2-2,fluence,5.0,36.357146,1289.289822
77,4,2,2,2,2,size-2-2-2-2,fluence,19.0,21.006243,313.376633
78,12,6,2,2,2,size-6-2-2-2,fluence,6.0,19.442713,2049.721318
79,6,3,2,2,2,size-3-2-2-2,fluence,6.0,49.216498,2846.972671
80,8,4,2,2,2,size-4-2-2-2,fluence,6.0,13.097488,2129.847917
81,4,2,2,2,2,size-2-2-2-2,fluence,24.0,30.010677,2988.018913
82,12,6,2,2,2,size-6-2-2-2,fluence,5.0,0.332823,303.450459
83,12,6,2,2,2,size-6-2-2-2,fluence,9.0,21.631747,2968.819033
84,12,6,2,2,2,size-6-2-2-2,fluence,5.0,38.150438,2036.763656
85,6,3,2,2,2,size-3-2-2-2,fluence,6.0,21.603639,3237.960917
86,12,6,2,2,2,size-6-2-2-2,fluence,5.0,36.435149,1781.056669
87,8,4,2,2,2,size-4-2-2-2,fluence,6.0,12.756679,3188.278631
88,8,4,2,2,2,size-4-2-2-2,fluence,6.0,40.712779,383.398512
89,6,3,2,2,2,size-3-2-2-2,fluence,6.0,18.893848,1844.801016
90,10,5,2,2,2,size-5-2-2-2,fluence,5.0,17.369478,103.664458
91,10,5,2,2,2,size-5-2-2-2,fluence,6.0,25.03807,3086.17413
92,4,2,2,2,2,size-2-2-2-2,fluence,136.0,137.609018,185.943246
93,10,5,2,2,2,size-5-2-2-2,fluence,5.0,1.341129,461.26879
94,6,3,2,2,2,size-3-2-2-2,fluence,6.0,18.819203,2339.134494
95,8,4,2,2,2,size-4-2-2-2,fluence,6.0,25.825937,1876.459138
96,12,6,2,2,2,size-6-2-2-2,fluence,5.0,60.590808,742.722108
97,12,6,2,2,2,size-6-2-2-2,fluence,5.0,40.665163,2515.847456
